Wall time,Step,Value
1751413195.575694,25,2.4000000848900527e-06
1751413230.874911,50,4.900000021734741e-06
1751413266.339592,75,7.3999999585794285e-06
1751413302.1300528,100,9.899999895424116e-06
1751413337.9088328,125,1.2299999980314169e-05
1751413373.6053345,150,1.4799999917158857e-05
1751413408.626674,175,1.7300000763498247e-05
1751413443.8294685,200,1.9799999790848233e-05
1751413479.3676143,225,2.2300000637187622e-05
1751413514.8732307,250,2.479999966453761e-05
1751413550.146942,275,2.7300000510876998e-05
1751413585.2279563,300,2.9799999538226984e-05
1751413620.3336666,325,3.229999856557697e-05
1751413655.4695425,350,3.469999865046702e-05
1751413690.5375776,375,3.719999949680641e-05
1751413725.0998416,400,3.97000003431458e-05
1751413759.5326838,425,4.220000118948519e-05
1751413794.1423695,450,4.4699998397845775e-05
1751413829.0584488,475,4.7199999244185165e-05
1751413863.9970374,500,4.9700000090524554e-05
1751414193.6784077,525,4.999987504561432e-05
1751414228.395916,550,4.999943485017866e-05
1751414263.0871673,575,4.999867087462917e-05
1751414298.0593064,600,4.9997590394923463e-05
1751414332.897363,625,4.9996186135103926e-05
1751414367.9337056,650,4.9994461733149365e-05
1751414402.807568,675,4.999241718905978e-05
1751414437.7170496,700,4.999005250283517e-05
1751414472.6523733,725,4.998737131245434e-05
1751414506.410014,750,4.9984366341959685e-05
1751414541.4384742,775,4.998104122933e-05
1751414576.2902718,800,4.99773959745653e-05
1751414611.083364,825,4.997343057766557e-05
1751414645.7881298,850,4.996914503863081e-05
1751414680.5117617,875,4.996454299543984e-05
1751414715.3168192,900,4.995961717213504e-05
1751414749.9533448,925,4.9954371206695214e-05
1751414784.8366306,950,4.994880873709917e-05
1751414819.6889641,975,4.9942922487389296e-05
1751414854.4244947,1000,4.9936719733523205e-05
1751415170.073718,1025,4.993019683752209e-05
1751415204.8814628,1050,4.992335379938595e-05
1751415239.0196958,1075,4.9916190619114786e-05
1751415273.0416565,1100,4.9908710934687406e-05
1751415307.328092,1125,4.9900911108125e-05
1751415341.757788,1150,4.989279113942757e-05
1751415376.271037,1175,4.988435102859512e-05
1751415410.6154203,1200,4.987559441360645e-05
1751415445.0927708,1225,4.9866517656482756e-05
1751415479.712351,1250,4.9857124395202845e-05
1751415514.2345216,1275,4.98474073538091e-05
1751415548.7692382,1300,4.983737744623795e-05
1751415583.1745238,1325,4.9827027396531776e-05
1751415617.8993788,1350,4.9816357204690576e-05
1751415652.8465521,1375,4.980537050869316e-05
1751415687.7989435,1400,4.9794067308539525e-05
1751415722.7763188,1425,4.9782447604229674e-05
1751415757.5985193,1450,4.97705077577848e-05
1751415792.4237347,1475,4.97582477692049e-05
1751415826.2160616,1500,4.974567491444759e-05
1751416131.752214,1525,4.973278191755526e-05
1751416166.7138312,1550,4.9719576054485515e-05
1751416201.184258,1575,4.970605004928075e-05
1751416235.56716,1600,4.9692207539919764e-05
1751416269.931196,1625,4.967805216438137e-05
1751416304.1870174,1650,4.966357664670795e-05
1751416338.4515295,1675,4.964878462487832e-05
1751416372.5646586,1700,4.963367973687127e-05
1751416406.6843867,1725,4.961825834470801e-05
1751416440.8582988,1750,4.960252044838853e-05
1751416475.0891058,1775,4.9586466047912836e-05
1751416509.1443586,1800,4.957009878125973e-05
1751416543.4455822,1825,4.9553418648429215e-05
1751416577.8215141,1850,4.9536418373463675e-05
1751416612.170865,1875,4.951910887029953e-05
1751416646.612257,1900,4.9501482862979174e-05
1751416681.1374803,1925,4.9483543989481404e-05
1751416715.5997596,1950,4.946528861182742e-05
1751416749.8187404,1975,4.944672036799602e-05
1751416783.9891803,2000,4.942784289596602e-05
1751417067.587845,2025,4.940864891977981e-05
1751417101.898901,2050,4.938914207741618e-05
1751417136.2877622,2075,4.9369322368875146e-05
1751417170.567904,2100,4.934919343213551e-05
1751417204.9542482,2125,4.932874799123965e-05
1751417239.3483007,2150,4.9307993322145194e-05
1751417273.7578108,2175,4.928692942485213e-05
1751417308.3601725,2200,4.9265549023402855e-05
1751417342.8433926,2225,4.924386303173378e-05
1751417376.173453,2250,4.92218641738873e-05
1751417410.5808246,2275,4.9199552449863404e-05
1751417444.8771315,2300,4.917693149764091e-05
1751417479.374783,2325,4.9154004955198616e-05
1751417513.906406,2350,4.9130765546578914e-05
1751417548.1573749,2375,4.910721690976061e-05
1751417582.592848,2400,4.90833590447437e-05
1751417617.2553337,2425,4.905919195152819e-05
1751417651.681755,2450,4.9034719268092886e-05
1751417685.933384,2475,4.900993735645898e-05
1751417720.169791,2500,4.8984846216626465e-05
